id,source_url,date_collected,sentence,MACHINE,COMPONENT,DEFECT_TYPE,ERROR_CODE,LOCATION,notes
1,https://hlauto.vn,7/2/2026,"Biến tần Mitsubishi E700 đột nhiên báo lỗi OC1, dây chuyền đóng gói đứng im rồi",dây chuyền đóng gói,Biến tần Mitsubishi E700,,OC1,,
2,https://hlauto.vn,7/2/2026,"Tháng 3/2024, mình nhận được cuộc gọi từ anh Hải - chủ xưởng dệt vải ở Nam Định",,,,,xưởng dệt vải ở Nam Định,
3,https://hlauto.vn,7/2/2026,"Biến tần Delta VFD-B 15kW điều khiển máy dệt chính đột nhiên ""chết im""",máy dệt,Biến tần Delta VFD-B 15kW,,,,
4,https://hlauto.vn,7/2/2026,"Ban đầu anh Hải nhờ thợ điện địa phương xem, kết luận là tụ nguồn hỏng nhưng không sửa được vì thiếu linh kiện chính hãng",,tụ nguồn,hỏng,,,
5,https://hlauto.vn,7/2/2026,"Kỹ thuật viên có mặt trong 4 giờ, mang theo tụ Nippon Chemi-Con chính hãng, sửa xong trong ngày",,tụ Nippon Chemi-Con,,,,
6,https://hlauto.vn,7/2/2026,"Năm 2018, mình sửa biến tần ABB ACS550 22kW cho nhà máy bia ở Hà Đông",biến tần ABB ACS550 22kW,,,,nhà máy bia ở Hà Đông,
7,https://hlauto.vn,7/2/2026,Lỗi ban đầu là module IGBT chết do quá dòng (motor bơm bị kẹt),,module IGBT,chết do quá dòng,,,
8,https://hlauto.vn,7/2/2026,"Sau khi thay IGBT, mình còn kiểm tra toàn bộ hệ thống: cảm biến nhiệt, quạt tản nhiệt, điện áp nguồn, và đặc biệt là NGUYÊN NHÂN GỐC RỄ - vòng bi motor đã mòn.",,IGBT; vòng bi motor,mòn,,,
9,https://hlauto.vn,7/2/2026,"Biến tần báo OC không phải lỗi ở biến tần, mà có thể do motor, cơ khí, hoặc điện áp lưới không ổn định.",,Biến tần,,OC,,
10,https://hlauto.vn,7/2/2026,Anh Hùng - chủ xưởng cơ khí có máy tiện CNC điều khiển bằng biến tần Mitsubitshi E700 3.7kW,máy tiện CNC,biến tần Mitsubitshi E700 3.7kW,,,xưởng cơ khí,
11,https://hlauto.vn,7/2/2026,"Sáng thứ 2, bật máy lên thì biến tần báo lỗi OC3 ngay lập tức",,,,OC3,,
12,https://hlauto.vn,7/2/2026,"Kỹ thuật viên kiểm tra phát hiện vòng bi motor bị mòn, kẹt cứng.",,vòng bi motor,"mòn, kẹt cứng.",,,
13,https://hlauto.vn,7/2/2026,"Khi biến tần cấp dòng khởi động, motor không quay được là OC3",,biến tần cấp dòng; motor,không quay được,OC3,,
14,https://hlauto.vn,7/2/2026,Chị Lan - giám sát xưởng sản xuất gạch men báo biến tần Fuji 15kW điều khiển băng tải luôn báo lỗi OV mỗi khi ấn STOP,băng tải,biến tần Fuji 15kW,,OV,xưởng sản xuất gạch men,
15,https://hlauto.vn,7/2/2026,"Khi dừng đột ngột, băng tải vẫn còn đà quay, motor hoạt động như máy phát điện, ""bơm"" điện ngược về biến tần",băng tải,motor; biến tần,,,,
16,https://hlauto.vn,7/2/2026,Điện áp bus DC tăng vọt từ 540V lên 720V là OV,,,Điện áp bus DC tăng vọt từ 540V lên 720V,OV,,
17,https://hlauto.vn,7/2/2026,"Tháng 7/2024, anh Đức - chủ xưởng ép nhựa gọi điện",,,,,xưởng ép nhựa,
18,https://hlauto.vn,7/2/2026,"Anh Long ơi, 3 biến tần Yaskawa A1000 cứ chạy 2-3 tiếng là báo OH hết",biến tần Yaskawa A1000,,OH,,,
19,https://hlauto.vn,7/2/2026,"Quạt tản nhiệt của 2/3 biến tần bị bụi bã nhựa bịt kín, không quay được.",,Quạt tản nhiệt; biến tần,,,,
20,https://hlauto.vn,7/2/2026,"Sáng đi làm, bật nguồn lên biến tần không phản ứng gì",biến tần,,không phản ứng gì,,,
21,https://hlauto.vn,7/2/2026,"Bơm nước chạy yếu, áp lực không đủ, motor rung",Bơm nước,motor,"chạy yếu, áp lực không đủ",,,
22,https://hlauto.vn,7/2/2026,"Kỹ thuật tòa nhà nghĩ motor hỏng, chuẩn bị thay mới.",,motor,,,tòa nhà,
23,https://hlauto.vn,7/2/2026,"Hệ thống 5 biến tần Delta điều khiển băng tải, kết nối PLC bằng Modbus RS485",băng tải,biến tần Delta; PLC,,,,
